% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
47.50,52.50,,,,"Courtyard, Fitness Center, Laundry Facilities, Property Manager on Site, Basketball Court, Volleyball Court, Storage Space",2.26,1638,726,C,,Vancouver,8.52,"Courtyard, Fitness Center, Laundry Facilities, Property Manager on Site, Basketball Court, Volleyball Court, Storage Space",,11.25,45.6085179,,-122.5308006,0,3,240,480,1.30,Not Disclosed,291669,,Garden,Cascade Park,,949,1985,,98683-7153,R-22
,91.67,,,8.33,"24 Hour Access, Air Conditioning, Courtyard, Gated, Package Service, Pet Play Area, Walking/Biking Trails, Patio, Wheelchair Accessible (Rooms)",2.03,1880,925,C,,Portland,0.28,"24 Hour Access, Air Conditioning, Courtyard, Gated, Package Service, Pet Play Area, Walking/Biking Trails, Patio, Wheelchair Accessible (Rooms)",,0.55,45.5150130,,-122.6942190,0,2,24,,1.40,Not Disclosed,22206,466,Garden,Southwest Hills,,967,1996,,97201,R1
14.29,85.71,,,,"Air Conditioning, Smoke Free, Patio, Public Transportation",1.39,1421,1024,B,,Portland,5.52,"Air Conditioning, Smoke Free, Patio, Public Transportation",,0.1927,45.4789441,,-122.6966399,0,3,70,807,,Not Disclosed,71974,,Garden,Hillsdale,,1061,1992,,97239-1992,R2.5
,100.00,,,,"Air Conditioning, Laundry Facilities, Playground, Property Manager on Site, Wi-Fi, Online Services, Wheelchair Accessible (Rooms)",1.82,1497,824,C,,Forest Grove,32.52,"Air Conditioning, Laundry Facilities, Playground, Property Manager on Site, Wi-Fi, Online Services, Wheelchair Accessible (Rooms)",,2.64,45.5193830,,-123.0924540,0,2,56,,3.00,Not Disclosed,47000,,Garden,Outlying Washington County,,824,1996,,97116-2673,CC
50.00,50.00,,,,,,,875,C,,Vancouver,14.8,,,0.69,45.6922390,,-122.6533770,0,2,20,750,1.14,Not Disclosed,21968,,Low-Rise,Northeast Hazel Dell,,1000,1985,,98665,R-
10.10,80.30,9.60,,,"Business Center, Clubhouse, Courtyard, Fitness Center, Playground, Pool, Property Manager on Site, Sauna, Spa, Corporate Suites, Breakfast/Coffee Concierge, Car Wash Area, Pet Play Area",1.85,1859,1007,B,,Vancouver,8.47,"Business Center, Clubhouse, Courtyard, Fitness Center, Playground, Pool, Property Manager on Site, Sauna, Spa, Corporate Suites, Breakfast/Coffee Concierge, Car Wash Area, Pet Play Area",,11.5932,45.6088237,,-122.5332897,0,2,198,656,1.60,Not Disclosed,199377,,Garden,Cascade Park,1088,1041,1989,,98683,"R22, Vancouver"
64.00,26.00,10.00,,,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Property Manager on Site, Spa, Gated, Deck, Dining Room, Patio",2.06,1495,727,B,,Gresham,0.95,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Property Manager on Site, Spa, Gated, Deck, Dining Room, Patio",,5.42,45.5114688,,-122.4154541,0,2,100,619,0.93,Not Disclosed,74882,,Garden,Gresham-North Central,1018,881,1991,,97030-4127,N/Av
,100.00,,,,"Laundry Facilities, Property Manager on Site",1.44,1197,833,C,,Forest Grove,33.97,"Laundry Facilities, Property Manager on Site",,1.05,45.5227980,,-123.1212190,0,2,24,,1.85,Not Disclosed,21000,,Garden,Outlying Washington County,,833,1980,,97116-1662,"A2, Forest Grove"
,100.00,,,,"Air Conditioning, Laundry Facilities, Freezer",1.37,1125,824,C,,Forest Grove,32.5,"Air Conditioning, Laundry Facilities, Freezer",,1.96,45.5220840,,-123.0936670,0,2,36,,1.64,Not Disclosed,36506,,Low-Rise,Outlying Washington County,,824,1994,,97116-1864,CC
23.74,50.36,25.90,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Property Manager on Site, Spa, Grill, Package Service, Recycling, Storage Space, Lounge, Maintenance on site, Window Coverings",1.78,1840,1031,A,,Gresham,13.45,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Property Manager on Site, Spa, Grill, Package Service, Recycling, Storage Space, Lounge, Maintenance on site, Window Coverings",,11.39,45.5133610,,-122.4000060,0,3,278,832,1.57,Not Disclosed,286728,,Garden,Gresham-Northeast,1178,1050,1990,,97030,MDR24
77.78,22.22,,,,"Air Conditioning, Laundry Facilities, Laundry Service, Online Services, Patio",1.75,1158,662,B,,Portland,4.81,"Air Conditioning, Laundry Facilities, Laundry Service, Online Services, Patio",,0.6097,45.4645968,,-122.7016806,0,3,27,636,1.74,Not Disclosed,23000,,Low-Rise,Multnomah,,753,1994,,97219,N/Av
50.00,50.00,,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Spa, Grill, Wheelchair Accessible (Rooms)",2.05,1711,834,B,,Milwaukie,15.57,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Spa, Grill, Wheelchair Accessible (Rooms)",,7.13,45.4480686,,-122.6359212,0,3,150,695,,Not Disclosed,125025,,Garden,Historic Milwaukie,,972,1987,2003,97222,N/Av
20.00,60.00,,,20.00,"Air Conditioning, Courtyard, Fitness Center, Property Manager on Site, Spa, Wheelchair Accessible (Rooms)",2.02,1780,879,A,,Vancouver,8.82,"Air Conditioning, Courtyard, Fitness Center, Property Manager on Site, Spa, Wheelchair Accessible (Rooms)",,12.3,45.6031350,,-122.4963914,0,2,200,762,,Not Disclosed,175840,505,Garden,Fisher's Landing East,,1043,1998,,98683,"OR-18, Vancouver"
,100.00,,,,"Air Conditioning, Fenced Lot, Fitness Center, Laundry Facilities, Playground, Basketball Court, Trash Pickup - Curbside, Storage Space, Bicycle Storage, Multi Use Room, Patio, Recreation Room",1.47,1273,865,B,,Mcminnville,,"Air Conditioning, Fenced Lot, Fitness Center, Laundry Facilities, Playground, Basketball Court, Trash Pickup - Curbside, Storage Space, Bicycle Storage, Multi Use Room, Patio, Recreation Room",,3.74,45.2278161,,-123.1830957,0,2,82,,,Not Disclosed,71108,,Garden,Yamhill County,,865,1991,,97128-2346,R4
42.86,57.14,,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Gated, Grill, Package Service, Recycling, Maintenance on site, Sundeck, Window Coverings",2.00,1668,835,B,,Vancouver,8.84,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Gated, Grill, Package Service, Recycling, Maintenance on site, Sundeck, Window Coverings",,19.85,45.6418270,,-122.5413030,0,2,336,747,1.15,Not Disclosed,280560,,Garden,Landover-Sharmel,,901,1999,2014,98682,"ME, Vancouver"
